epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,482.481,2.1756,2.1557,1.02917,0.10898,0.081,0.05948,0.03379,2.28411,2.33522,1.01721,0.000791319,0.000263773,0.000791319,0.000263773,0.000791319,0.000263773,0.000791319,0.000263773
31,497.615,2.19647,2.16195,1.02829,0.11154,0.08625,0.0619,0.03535,2.30051,2.32484,1.01744,0.00078033,0.00026011,0.00078033,0.00026011,0.00078033,0.00026011,0.00078033,0.00026011
32,512.801,2.12903,2.10769,1.02452,0.11398,0.08776,0.0649,0.03698,2.30935,2.30721,1.01826,0.000769341,0.000256447,0.000769341,0.000256447,0.000769341,0.000256447,0.000769341,0.000256447
33,527.949,2.16455,2.10494,1.02576,0.11799,0.09139,0.06743,0.0375,2.29695,2.29585,1.01582,0.000758352,0.000252784,0.000758352,0.000252784,0.000758352,0.000252784,0.000758352,0.000252784
34,543.273,2.09777,2.07599,1.02675,0.1159,0.08948,0.0674,0.03777,2.2964,2.28528,1.01511,0.000747363,0.000249121,0.000747363,0.000249121,0.000747363,0.000249121,0.000747363,0.000249121
35,558.683,2.15968,2.04054,1.01398,0.11548,0.09055,0.06783,0.03767,2.29815,2.28271,1.01422,0.000736374,0.000245458,0.000736374,0.000245458,0.000736374,0.000245458,0.000736374,0.000245458
36,574.028,2.10035,2.04047,1.01219,0.1962,0.10004,0.07146,0.0398,2.31106,2.27141,1.01485,0.000725385,0.000241795,0.000725385,0.000241795,0.000725385,0.000241795,0.000725385,0.000241795
37,589.355,2.13357,2.02952,1.01475,0.19788,0.1039,0.07388,0.04129,2.29646,2.24923,1.01239,0.000714396,0.000238132,0.000714396,0.000238132,0.000714396,0.000238132,0.000714396,0.000238132
38,605.289,2.14484,1.98978,1.00834,0.10423,0.13502,0.07618,0.04292,2.28204,2.22388,1.00963,0.000703407,0.000234469,0.000703407,0.000234469,0.000703407,0.000234469,0.000703407,0.000234469
39,620.563,2.10502,1.97962,1.00886,0.19931,0.13402,0.07857,0.04363,2.28264,2.22079,1.01158,0.000692418,0.000230806,0.000692418,0.000230806,0.000692418,0.000230806,0.000692418,0.000230806
